order_id,order_date,customer_id,product_id,quantity,unit_price,discount,channel,payment_id,payment_method,payment_status,paid_at,net_sales
ORD000001,2026-01-08 17:11:00,C0158,P039,2,940.5,0.0,Marketplace,PAY000001,Bank Transfer,PAID,2026-01-08T17:30:00,1881.0
ORD000002,2026-01-12 20:13:00,C0123,P038,1,12900.0,0.1,Mobile App,PAY000002,Bank Transfer,PAID,2026-01-12T22:58:00,11610.0
ORD000003,2026-01-26 14:00:00,C0119,P031,3,1415.5,0.05,Web,PAY000003,PromptPay,PAID,2026-01-26T14:03:00,4034.1749999999997
ORD000004,2026-01-18 16:18:00,C0065,P003,2,25900.0,0.0,Mobile App,PAY000004,Bank Transfer,PAID,2026-01-18T18:24:00,51800.0
ORD000005,2026-01-08 17:43:00,C0129,P007,2,23310.0,0.05,Mobile App,PAY000005,Credit Card,PAID,2026-01-08T20:03:00,44289.0
ORD000006,2026-01-23 11:50:00,C0097,P037,2,27195.0,0.0,Mobile App,PAY000006,Bank Transfer,PAID,2026-01-23T12:37:00,54390.0
ORD000007,2026-01-24 07:03:00,C0139,P001,1,284.05,0.0,Web,PAY000007,Bank Transfer,PAID,2026-01-24T09:09:00,284.05
ORD000010,2026-01-07 03:12:00,C0100,P017,2,990.0,0.1,Mobile App,PAY000010,Bank Transfer,PAID,2026-01-07T04:36:00,1782.0
ORD000011,2026-01-12 14:34:00,C0120,P028,2,313.95,0.0,Web,PAY000011,Credit Card,PAID,2026-01-12T16:27:00,627.9
ORD000012,2026-01-08 22:35:00,C0141,P008,2,449.1,0.05,Marketplace,PAY000012,Bank Transfer,PAID,2026-01-08T23:43:00,853.29
ORD000013,2026-01-27 22:41:00,C0110,P002,2,1341.0,0.0,Mobile App,PAY000013,Bank Transfer,PAID,2026-01-28T01:23:00,2682.0
ORD000014,2026-01-20 07:11:00,C0142,P017,4,990.0,0.0,Marketplace,PAY000014,Credit Card,PAID,2026-01-20T09:42:00,3960.0
ORD000015,2026-01-04 13:47:00,C0151,P018,2,4189.5,0.0,Web,PAY000015,Bank Transfer,PAID,2026-01-04T15:28:00,8379.0
ORD000016,2026-01-18 06:47:00,C0072,P006,1,313.95,0.0,Mobile App,PAY000016,Bank Transfer,PAID,2026-01-18T07:49:00,313.95
ORD000017,2026-01-27 00:37:00,C0048,P019,2,3591.0,0.0,Mobile App,PAY000017,Bank Transfer,PAID,2026-01-27T03:19:00,7182.0
ORD000018,2026-01-05 02:59:00,C0037,P001,3,299.0,0.0,Marketplace,PAY000018,Bank Transfer,PAID,2026-01-05T03:24:00,897.0
ORD000019,2026-01-14 22:23:00,C0159,P019,1,4189.5,0.1,Web,PAY000019,PromptPay,PAID,2026-01-15T00:15:00,3770.55
ORD000020,2026-01-08 21:53:00,C0115,P007,1,25900.0,0.0,Web,PAY000020,Credit Card,PAID,2026-01-08T22:34:00,25900.0
ORD000021,2026-01-18 02:04:00,C0007,P007,1,27195.0,0.05,Web,PAY000021,Bank Transfer,PAID,2026-01-18T03:13:00,25835.25
ORD000024,2026-01-28 11:43:00,C0042,P033,1,13545.0,0.0,Marketplace,PAY000024,Bank Transfer,PAID,2026-01-28T13:44:00,13545.0
ORD000025,2026-01-07 13:04:00,C0079,P011,1,25900.0,0.0,Web,PAY000025,Credit Card,PAID,2026-01-07T15:39:00,25900.0
ORD000026,2026-01-04 19:15:00,C0107,P008,1,499.0,0.0,Mobile App,PAY000026,Credit Card,PAID,2026-01-04T20:27:00,499.0
ORD000027,2026-01-23 14:12:00,C0143,P019,2,3790.5,0.1,Web,PAY000027,Credit Card,PAID,2026-01-23T15:21:00,6822.900000000001
ORD000028,2026-01-08 05:59:00,C0139,P013,4,523.95,0.0,Mobile App,PAY000028,Credit Card,PAID,2026-01-08T08:06:00,2095.8
ORD000030,2026-01-10 12:26:00,C0003,P006,1,299.0,0.05,Mobile App,PAY000030,PromptPay,PAID,2026-01-10T14:50:00,284.05
ORD000031,2026-01-16 18:33:00,C0087,P027,1,24605.0,0.0,Web,PAY000031,PromptPay,PAID,2026-01-16T18:52:00,24605.0
ORD000032,2026-01-01 14:52:00,C0085,P035,1,25900.0,0.0,Mobile App,PAY000032,Bank Transfer,PAID,2026-01-01T17:21:00,25900.0
ORD000034,2026-01-24 06:21:00,C0044,P005,1,313.95,0.0,Web,PAY000034,PromptPay,PAID,2026-01-24T06:44:00,313.95
ORD000035,2026-01-16 21:39:00,C0045,P033,3,12900.0,0.0,Marketplace,PAY000035,PromptPay,PAID,2026-01-17T00:12:00,38700.0
ORD000036,2026-01-21 10:30:00,C0043,P005,1,299.0,0.0,Mobile App,PAY000036,Credit Card,PAID,2026-01-21T13:28:00,299.0
ORD000037,2026-01-20 00:56:00,C0108,P017,4,990.0,0.0,Web,PAY000037,PromptPay,PAID,2026-01-20T03:11:00,3960.0
ORD000038,2026-01-18 01:57:00,C0008,P009,1,284.05,0.05,Mobile App,PAY000038,PromptPay,PAID,2026-01-18T03:21:00,269.8475
ORD000039,2026-01-28 20:23:00,C0126,P004,2,1415.5,0.0,Marketplace,PAY000039,PromptPay,PAID,2026-01-28T20:25:00,2831.0
ORD000040,2026-01-15 23:19:00,C0086,P021,1,23310.0,0.0,Marketplace,PAY000040,PromptPay,PAID,2026-01-16T00:12:00,23310.0
ORD000041,2026-01-11 12:38:00,C0008,P034,2,284.05,0.0,Web,PAY000041,Credit Card,PAID,2026-01-11T14:36:00,568.1
ORD000042,2026-01-21 15:59:00,C0114,P032,1,25900.0,0.0,Marketplace,PAY000042,Credit Card,PAID,2026-01-21T17:17:00,25900.0
ORD000043,2026-01-03 08:15:00,C0006,P018,1,3790.5,0.05,Web,PAY000043,Bank Transfer,PAID,2026-01-03T09:31:00,3600.975
ORD000045,2026-01-16 19:17:00,C0068,P019,3,3990.0,0.0,Marketplace,PAY000045,Bank Transfer,PAID,2026-01-16T19:47:00,11970.0
ORD000046,2026-01-21 21:21:00,C0097,P026,2,12900.0,0.1,Mobile App,PAY000046,Bank Transfer,PAID,2026-01-21T22:17:00,23220.0
ORD000047,2026-01-01 07:56:00,C0100,P038,4,11610.0,0.0,Web,PAY000047,PromptPay,PAID,2026-01-01T09:44:00,46440.0
ORD000048,2026-01-13 07:59:00,C0040,P038,2,12900.0,0.0,Marketplace,PAY000048,PromptPay,PAID,2026-01-13T09:30:00,25800.0
ORD000049,2026-01-18 00:12:00,C0059,P019,1,3990.0,0.05,Mobile App,PAY000049,PromptPay,PAID,2026-01-18T01:04:00,3790.5
ORD000050,2026-01-09 02:38:00,C0067,P006,1,313.95,0.0,Web,PAY000050,Bank Transfer,PAID,2026-01-09T04:32:00,313.95
ORD000051,2026-01-24 03:14:00,C0035,P039,4,990.0,0.0,Marketplace,PAY000051,Credit Card,PAID,2026-01-24T04:27:00,3960.0
ORD000052,2026-01-18 11:03:00,C0079,P035,1,23310.0,0.0,Mobile App,PAY000052,Credit Card,PAID,2026-01-18T12:24:00,23310.0
ORD000053,2026-01-16 20:25:00,C0113,P019,4,3990.0,0.05,Marketplace,PAY000053,Credit Card,PAID,2026-01-16T22:54:00,15162.0
ORD000054,2026-01-01 18:10:00,C0046,P035,1,25900.0,0.1,Marketplace,PAY000054,Bank Transfer,PAID,2026-01-01T19:13:00,23310.0
ORD000055,2026-01-07 14:06:00,C0132,P027,2,23310.0,0.0,Marketplace,PAY000055,Credit Card,PAID,2026-01-07T16:03:00,46620.0
ORD000057,2026-01-20 22:46:00,C0054,P039,2,990.0,0.0,Marketplace,PAY000057,Bank Transfer,PAID,2026-01-20T23:31:00,1980.0
ORD000058,2026-01-16 05:55:00,C0096,P038,2,13545.0,0.05,Mobile App,PAY000058,PromptPay,PAID,2026-01-16T07:21:00,25735.5
ORD000059,2026-01-22 06:56:00,C0038,P005,1,284.05,0.0,Mobile App,PAY000059,Bank Transfer,PAID,2026-01-22T07:08:00,284.05
ORD000060,2026-01-15 09:26:00,C0057,P005,1,299.0,0.1,Mobile App,PAY000060,Credit Card,PAID,2026-01-15T12:01:00,269.1
ORD000061,2026-01-08 12:44:00,C0102,P023,2,313.95,0.1,Mobile App,PAY000061,Bank Transfer,PAID,2026-01-08T12:47:00,565.11
ORD000062,2026-01-09 13:10:00,C0036,P020,3,499.0,0.0,Marketplace,PAY000062,PromptPay,PAID,2026-01-09T15:05:00,1497.0
ORD000063,2026-01-08 01:20:00,C0034,P025,3,27195.0,0.0,Marketplace,PAY000063,Credit Card,PAID,2026-01-08T04:07:00,81585.0
ORD000064,2026-01-07 21:17:00,C0152,P014,1,1039.5,0.1,Web,PAY000064,Credit Card,PAID,2026-01-07T21:33:00,935.5500000000001
ORD000065,2026-01-20 12:44:00,C0160,P031,3,1490.0,0.0,Web,PAY000065,Bank Transfer,PAID,2026-01-20T15:03:00,4470.0
ORD000067,2026-01-11 23:34:00,C0125,P035,1,25900.0,0.0,Mobile App,PAY000067,Credit Card,PAID,2026-01-12T02:25:00,25900.0
ORD000068,2026-01-15 21:59:00,C0052,P039,1,940.5,0.05,Mobile App,PAY000068,PromptPay,PAID,2026-01-16T00:21:00,893.4749999999999
ORD000069,2026-01-09 12:18:00,C0081,P039,1,1039.5,0.0,Web,PAY000069,Credit Card,PAID,2026-01-09T14:32:00,1039.5
ORD000070,2026-01-28 09:39:00,C0069,P014,4,1039.5,0.0,Marketplace,PAY000070,Bank Transfer,PAID,2026-01-28T12:02:00,4158.0
ORD000071,2026-01-01 22:56:00,C0021,P008,1,523.95,0.0,Web,PAY000071,Credit Card,PAID,2026-01-02T00:10:00,523.95
ORD000072,2026-01-24 22:09:00,C0028,P032,4,23310.0,0.05,Mobile App,PAY000072,Credit Card,PAID,2026-01-24T22:55:00,88578.0
ORD000073,2026-01-13 05:31:00,C0009,P022,1,474.05,0.0,Web,PAY000073,Credit Card,PAID,2026-01-13T07:28:00,474.05
ORD000074,2026-01-17 10:33:00,C0110,P031,4,1490.0,0.0,Marketplace,PAY000074,Credit Card,PAID,2026-01-17T11:45:00,5960.0
ORD000075,2026-01-22 08:13:00,C0039,P007,2,24605.0,0.05,Web,PAY000075,Credit Card,PAID,2026-01-22T08:15:00,46749.5
